iter   i     a     b      Smsy      Emin
433 20 2.097709 60923.24 21555.16 17244.13
434 20 1.765184 63386.94 23938.84 19050.44
435 20 1.43025 75221.89 30234.75 19050.44
436 20 1.265594 373920.6 154745.3 19050.44
437 20 1.653991 97962.54 37785.56 19050.44
438 20 2.234137 62723.14 21588.53 17270.82
439 20 1.375033 131177 53249.93 19050.44
440 20 1.234059 136684.3 56876.73 19050.44
441 20 1.406627 100027 40376.11 19050.44
442 20 1.047089 1998155 858226.2 19050.44
443 20 1.821568 68259.54 25500.98 19050.44
444 20 2.261817 48688.45 16663.69 13330.95
445 20 1.049519 145525271825 62479282625 19050.44
446 20 1.444961 98472.26 39475.04 19050.44
447 20 1.497853 119763.5 47550.86 19050.44
448 20 1.649967 108504.4 41883.35 19050.44
449 20 1.613624 88721.03 34480.69 19050.44
450 20 1.743115 61217.83 23217.38 18573.9
451 20 1.672816 88587.89 34048.74 19050.44
452 20 1.646448 119069.9 45992.09 19050.44
453 20 1.264415 150048.7 62109.71 19050.44
454 20 1.193493 215527.2 90313.41 19050.44
455 20 1.399292 122138.8 49366.47 19050.44
456 20 1.71392 117860.7 44948.76 19050.44
457 20 1.330988 96437.53 39454.98 19050.44
458 20 1.539561 78620.55 30977.63 19050.44
459 20 1.653644 102061 39368.98 19050.44
460 20 2.010081 75936 27340.56 19050.44
461 20 1.939478 68194.41 24897.93 19050.44
462 20 1.641877 51025.09 19725.92 15780.74
463 20 1.094561 65976345172 28114071388 19050.44
464 20 1.225873 203780.9 84916.82 19050.44
465 20 1.467206 101564 40550.67 19050.44
466 20 1.270308 256786.4 106182.6 19050.44
467 20 1.233868 291402.5 121261.6 19050.44
468 20 1.497369 132241.8 52509.89 19050.44
469 20 1.71026 87402.76 33356.12 19050.44
470 20 2.276407 55504.41 18939.94 15151.96
471 20 1.343779 109031.6 44506.71 19050.44
472 20 1.637654 90101.66 34860.23 19050.44
473 20 2.039158 53920.79 19302.16 15441.73
474 20 2.112358 63589.03 22432.29 17945.83
475 20 1.337617 136846.8 55921.86 19050.44
476 20 1.74235 87629.39 33239.04 19050.44
477 20 1.460451 97082.54 38808.93 19050.44
478 20 2.110548 69843.19 24647.52 19050.44
479 20 1.385254 150320.9 60909.98 19050.44
480 20 1.545694 112183.2 44151.89 19050.44
481 20 1.229714 225012.9 93702.15 19050.44
482 20 1.411269 145498.8 58681.96 19050.44
483 20 1.429722 81413.11 32726.37 19050.44
484 20 2.452487 44315.88 14583.54 11666.83
485 20 1.406501 216555.3 87414.98 19050.44
486 20 1.769162 98988.46 37355.71 19050.44
487 20 1.700609 74270.24 28396.18 19050.44
488 20 2.166282 65106.86 22719.52 18175.62
489 20 1.798561 83528.5 31344.04 19050.44
490 20 1.289373 156541.9 64515.65 19050.44
491 20 1.573618 53244.98 20847.74 16678.19
492 20 1.480333 136810.2 54492.94 19050.44
493 20 1.706004 55363.71 21145.9 16916.72
494 20 2.015793 55897.08 20102.8 16082.24
495 20 2.122469 80334.88 28282.17 19050.44
496 20 1.564109 119923.1 47037.87 19050.44
497 20 1.61063 60461.4 23510.95 18808.76
498 20 1.400469 116169.1 46943.73 19050.44
499 20 1.12413 17988796401 7627415512 19050.44
500 20 1.121362 38614295768 16380465678 19050.44
501 20 1.732886 79817.68 30330.62 19050.44
502 20 1.795597 68572.49 25746.49 19050.44
503 20 1.484516 115395.5 45928.22 19050.44
504 20 1.399963 169548.6 68520.46 19050.44
505 20 1.974208 68737.78 24925.21 19050.44
506 20 1.853123 62712.92 23286.11 18628.89
507 20 1.224369 83618412209 34853386055 19050.44
508 20 2.105452 76914.34 27170.71 19050.44
509 20 1.098114 476761.7 203038.4 19050.44
510 20 1.448444 112884.3 45223.98 19050.44
511 20 1.481031 74094.12 29508.71 19050.44
512 20 1.795671 59827.65 22462.8 17970.24
513 20 1.368347 195001.8 79253.26 19050.44
514 20 1.692184 84063.27 32191.72 19050.44
515 20 1.644615 135187.8 52235.76 19050.44
516 20 1.547125 85706.12 33722.42 19050.44
517 20 1.520479 94852 37504.36 19050.44
